feature,importance_mean,importance_std
rsi_value,0.05460588793922142,0.02016914176971945
atr_percentile,0.053915453915454076,0.020588947097469418
regime_confidence,0.012771746105079551,0.01080459953943296
ema_spread_pct,0.010661943995277463,0.01506683461605896
sweep_strength,0.009612176278843143,0.00597774178702241
dmi_strength,0.009150175816842606,0.017984291607067947
adx_strength,0.008988475655142443,0.009781695991933757
supertrend_strength,0.006111239444572913,0.009930691369825138
has_bos,0.002428069094735889,0.0023565657998497348
rsi_strength,0.0020225353558688338,0.002283406813683671
macd_bullish_cross,0.0013423680090347927,0.0037340768139127907
structure_breaks,0.00022330022330031564,0.0015586699893076945
supertrend_direction,6.930006930018217e-05,0.005454459580217749
ob_valid,0.0,0.0
supertrend_bearish,0.0,0.0
supertrend_bullish,0.0,0.0
ema_bearish_alignment,0.0,0.0
volume_above_avg,0.0,0.0
trend_is_strong,0.0,0.0
ema_bearish_cross,0.0,0.0
ema_bullish_alignment,0.0,0.0
ema_bullish_cross,0.0,0.0
macd_bearish_cross,-5.390005389997269e-05,0.0006774694147555055
has_ob,-0.0003105669772334914,0.0008746619779217134
macd_hist_normalized,-0.002294602294602177,0.01579294417582068
ema_spread_trend,-0.0034008367341698802,0.0025069474482832103
has_sweep,-0.003683170349836921,0.0025640049311818243
structure_trend,-0.004453171119837685,0.004491249471455094
regime,-0.00635763969097289,0.0033006418296069274
volume_ratio,-0.011781011781011637,0.01009952218674699
