feature,coefficient,std_err,z_value,p_value,odds_ratio,ci_lower_95,ci_upper_95,significant_005,significant_001,VIF
dmi_strength,0.24522634891589684,0.10108353309876414,2.4259772229795065,0.015267228430615077,1.2779105341352444,1.0482333932765426,1.5579119533191563,True,False,2.5995635440261036
atr_percentile,0.17690045782267083,0.07728294875135197,2.2889972585262695,0.02207951167208344,1.1935122824026383,1.0257547280114576,1.3887058273740114,True,False,1.5761924902494728
rsi_strength,-0.21553956167746355,0.09614962139415019,-2.241709936577838,0.02498012526200734,0.8061063787067242,0.6676512272186105,0.9732738700993967,True,False,2.477557633005037
regime,-0.14900860823005968,0.07430043336944078,-2.0054877404166773,0.04491093007134402,0.8615616983457267,0.7448035537095097,0.9966232791981042,True,False,1.462784991946034
macd_bullish_cross,0.1276602732244977,0.0649558457385474,1.9653392511944305,0.049374985495803145,1.1361669507900642,1.000349215953304,1.290424703174706,True,False,1.1144293870580644
has_sweep,-0.12600596231675332,0.07271889068234001,-1.7327816903476805,0.08313447839876488,0.8816095903321154,0.7645006762488463,1.016657661546095,False,False,46.77389904495785
macd_bearish_cross,0.10138147258105866,0.06808423829060699,1.48905936420009,0.13647173712215918,1.1066987364729823,0.9684473283508533,1.264686325684381,False,False,1.1957308619339444
structure_breaks,0.3256384705927194,0.22060491485422773,1.4761161183008829,0.13991272259415827,1.3849145910040561,0.8987600234666374,2.1340384243816213,False,False,12.83866996144074
structure_trend,0.2214918269764304,0.16740439730683815,1.3230944380179845,0.1858039741413129,1.2479370487601718,0.8988718853683505,1.7325571118848146,False,False,7.332721250818699
volume_ratio,-0.10510321361801507,0.08433840389277258,-1.2462082368981366,0.2126879558592668,0.9002316016303383,0.7630715727080548,1.0620457707497162,False,False,1.7225384528869423
supertrend_direction,-0.2650375388069523,0.22295262553502254,-1.1887616850034306,0.2345334592652656,0.7671771505203588,0.49558487160126224,1.1876084481329399,False,False,inf
has_ob,0.07066581809048188,0.06430328223653106,1.098945740134183,0.2717917338727478,1.0732225143850564,0.9461385147087303,1.217376258842573,False,False,inf
ema_bullish_cross,-0.06796168579639247,0.07220041547391977,-0.9412921705546361,0.3465551539265245,0.9342962697089664,0.8110124287291306,1.0763207673154318,False,False,1.0724091258182986
volume_above_avg,0.09174278365183149,0.09999748777651253,0.9174508849349322,0.35890641870728834,1.0960828553897968,0.9010011987265002,1.3334029161976018,False,False,2.650366762011476
ema_bullish_alignment,0.22754361375647292,0.25315497153613536,0.89883130627752,0.36874252207703095,1.2555121961632256,0.7644252666310015,2.062086306568295,False,False,inf
adx_strength,-0.08850932008951987,0.1660355634975573,-0.533074470463203,0.5939820305817876,0.915294580068821,0.661045210266198,1.267332635185418,False,False,6.80810891972043
supertrend_strength,0.07665450489823195,0.16376359057915388,0.4680802651379433,0.6397271914896494,1.0796689915986988,0.7832399075237501,1.4882861818227824,False,False,6.407117878108486
has_bos,-0.04163110599900948,0.1343454067078503,-0.30988112671050344,0.7566513555364609,0.9592235671331267,0.737165196541871,1.248173212815722,False,False,4.7635050288445235
rsi_value,-0.06803152246997536,0.22392708194070643,-0.30381105259965563,0.7612718457655567,0.9342310238436526,0.6023476321862995,1.4489765697991754,False,False,13.021137419764033
ema_spread_pct,0.025807372153520726,0.09123238742565729,0.28287511575371665,0.7772725705800698,1.026143265667002,0.8581255844138124,1.2270581611816478,False,False,2.1405060961827296
ema_spread_trend,-0.012427049386086042,0.06784219888068817,-0.18317580489896979,0.8546600780518688,0.9876498475286211,0.8646804036915567,1.1281072372622722,False,False,1.2089989243167842
macd_hist_normalized,-0.014766498900954763,0.11627082651565321,-0.12700089389118424,0.8989396910564286,0.9853419911812454,0.7845436001792943,1.23753331154972,False,False,3.5435531972787735
regime_confidence,0.009503555461262218,0.08475201073309241,0.11213368720172964,0.9107174073325959,1.0095488576413314,0.8550397386322802,1.1919783957587864,False,False,1.9240424887510579
trend_is_strong,0.004313453651578982,0.0649849161183149,0.06637622865782707,0.9470782952405432,1.004322769983153,0.8842153464068053,1.1407449897873316,False,False,1.1098171235388221
ema_bearish_cross,-0.3620787691253018,11.080532758291668,-0.03267701806615344,0.9739321510284,0.6962275244487044,2.5762298327423013e-10,1881558701.166007,False,False,1.0219254546399439
